bank_id,bank_name,region,initial_equity,final_equity,equity_loss,status
815600E4E6DCD2D25E30,BANCO BPM SOCIETA' PER AZIONI,EU,33505006560.109985,27516536864.157776,5988469695.952209,Distressed
7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT,EU,32886843123.79138,27009928130.742035,5876914993.049347,Distressed
213800X3Q9LSAKRUWY91,KBC Groupe,EU,31066057303.583008,25517486417.666885,5548570885.916122,Distressed
P4GTT6GF1W40CVIMFR43,Powszechna Kasa Oszczednosci Bank Polski S.A.,EU,30628204798.964844,25158539457.771545,5469665341.193298,Distressed
969500STN7T9MRUMJ267,Bpifrance,EU,28384431092.358032,23318796386.213654,5065634706.144379,Distressed
BFXS5XCH7N0Y05NIXW11,ABN AMRO Bank N.V.,EU,26924735451.43701,22121657130.134796,4803078321.302216,Distressed
529900W3MOO00A18X956,OTP-csoport,EU,26054926589.38556,21408193949.44467,4646732639.940887,Distressed
TO822O0VT80V06K0FH57,"Caixa Geral de Depósitos, S.A.",EU,25112834971.077515,20635350336.85736,4477484634.220154,Distressed
B81CK4ESI35472RHJ606,Landesbank Baden-Württemberg,EU,23800423683.492004,19558559245.39328,4241864438.0987244,Distressed
MAES062Z21O4RZ2U7M96,Danske Bank A/S,EU,22693572238.517395,18650282262.325943,4043289976.191452,Distressed
F0HUI1NY1AZMJMD8LP67,HSBC Continental Europe,EU,22319775325.487,18335821741.821915,3983953583.665085,Distressed
JEUVK5RWVJEN8W0C9M24,Eurobank Ergasias Services and Holdings S.A.,EU,22084089405.292603,18142557172.090294,3941532233.2023087,Distressed
529900ODI3047E2LIV03,Nordea Bank Abp,EU,22015276856.901672,18086128820.760498,3929148036.1411743,Distressed
EQYXK86SF381Q21S3020,Bank of America Europe Designated Activity Company,EU,21193149268.299377,17411909129.64406,3781240138.655319,Distressed
LOO0AWXR8GF142JCO404,CASSA CENTRALE BANCA,EU,21040881086.5,17287025108.546295,3753855977.953705,Distressed
J4CP7MHCXR8DAQMKIL78,Banca Monte dei Paschi di Siena S.p.A.,EU,20361636602.650024,16729898260.821426,3631738341.828598,Distressed
9ZHRYM6F437SQJ6OUG95,9ZHRYM6F437SQJ6OUG95_AT,EU,19930507845.08954,16376246911.840881,3554260933.248657,Distressed
SI5RG2M0WQQLZCXKRM20,"Banco de Sabadell, S.A.",EU,19908830004.940002,16358464085.846512,3550365919.0934906,Distressed
2G5BKIC2CB69PRJH1W31,Barclays Bank Ireland plc,EU,19588542403.468872,16095717363.731636,3492825039.737236,Distressed
54930056IRBXK0Q1FP96,"Abanca Corporacion Bancaria, S.A.",EU,19492340701.100037,16016795915.533783,3475544785.5662537,Distressed
635400AKJBGNS5WNQL34,AIB Group plc,EU,19233639893.048645,15804558014.677505,3429081878.3711395,Distressed
5493000LKS7B3UTF7H35,Bank Polska Kasa Opieki S.A.,EU,19170385220.45392,15752662546.101028,3417722674.35289,Distressed
5UMCZOEYKCVFAW8ZLO05,"National Bank of Greece, S.A.",EU,18129213308.93152,14898384483.808334,3230828825.123184,Distressed
549300GKFG0RYRRQ1414,DNB BANK ASA,EU,17375434907.51892,14279819424.709915,3095615482.8090057,Distressed
N747OI7JINV7RUUH6190,BPER Banca S.p.A.,EU,17181776302.5,14120886935.040878,3060889367.4591217,Distressed
M6AD1Y1KW32H8THQ6F76,Piraeus Financial Holdings,EU,16929235901.400024,13913623428.880417,3015612472.5196075,Distressed
DG3RU1DBUFHT4ZF9WN62,Coöperatieve Rabobank U.A.2,EU,16269061336.248535,13371767736.72042,2897293599.5281143,Distressed
549300U4LIZV0REEQQ46,"Kutxabank, S.A.",EU,16012730353.5,13161361341.351273,2851369012.1487274,Distressed
VWMYAEQSTOPNV0SUGU82,"Bankinter, S.A.",EU,15576386216.950012,12803172644.061172,2773213572.8888397,Distressed
A5GWLFH3KM7YV2SFQL84,Belfius Bank,EU,15546809518.300537,12778892616.926064,2767916901.3744736,Distressed
549300HFEHJOXGE4ZE63,SFIL S.A.,EU,15442161571.166016,12692984340.790733,2749177230.3752823,Distressed
213800DBQIB6VBNU5C64,Alpha Bank S.A.,EU,14201864413.028534,11674678391.039536,2527186021.9889984,Distressed
529900GGYMNGRQTDOO93,BNG Bank N.V.,EU,13512081265.89801,11108264070.695206,2403817195.2028046,Distressed
95980020140005881190,Banco de Crédito Social Cooperativo,EU,13448149117.100006,11055763032.42115,2392386084.678856,Distressed
8IBZUGJ7JPLH368JE346,Goldman Sachs Bank Europe SE,EU,13395482165.178833,11012512551.515213,2382969613.66362,Distressed
529900JZTYE3W7WQH904,HASPA Finanzholding,EU,13364867654.43753,10987371522.192413,2377496132.245117,Distressed
5493007SJLLCTM6J6M37,"Unicaja Banco, S.A.",EU,13056488520.535004,10734119558.513657,2322368962.021347,Distressed
5493009EIBTCB1X12G89,LGT Group Foundation,EU,12747721611.147705,10480536278.472748,2267185332.6749573,Distressed
635400C8EK6DRI12LJ39,Bank of Ireland Group plc,EU,12378171026.114044,10177015834.018211,2201155192.095833,Distressed
529900XSTAE561178282,Raiffeisenbankengruppe OÖ Verbund eGen,EU,12065764821.083984,9920415032.993229,2145349788.0907555,Distressed
529900S9YO2JHTIIDG38,529900S9YO2JHTIIDG38_AT,EU,11813211081.436005,9712965588.206848,2100245493.2291565,Distressed
EV2XZWMLLXF2QRX0CD47,Kommuninvest - Grupp,EU,11565068063.809082,9509130779.9539,2055937283.8551826,Distressed
529900HEKOENJHPNN480,Kuntarahoitus Oyj,EU,11551053559.819,9497618446.882149,2053435112.9368515,Distressed
JU1U6S0DG9YLT7N8ZV32,"Banco Comercial Português, SA",EU,11478526448.1875,9438040014.222473,2040486433.9650269,Distressed
529900V3O1M5IHMOSF46,State Street Europe Holdings Germany S.a.r.l. & Co. KG,EU,10933254050.771515,8990095561.632622,1943158489.1388931,Distressed
NHBDILHZTYCNBV5UYZ31,Svenska Handelsbanken - gruppen,EU,10359232171.71048,8518490087.858101,1840742083.8523788,Distressed
DIZES5CFO5K3I5R58746,Landesbank Hessen-Thüringen Girozentrale,EU,10057314360.709045,8270422404.657749,1786891956.0512962,Distressed
549300OLBL49CW8CT155,"Ibercaja Banco, S.A.",EU,10048158550.0,8262899435.414909,1785259114.5850906,Distressed
5299007QVIQ7IO64NX37,UBS Europe SE,EU,9865979998.145508,8113208154.523689,1752771843.6218185,Distressed
VDYMYTQGZZ6DU0912C88,Bayerische Landesbank,EU,9865426812.567535,8112753609.842167,1752673202.7253685,Distressed
PSNL19R2RXX5U3QWHI44,Mediobanca - Banca di Credito Finanziario S.p.A.,EU,9701932261.149994,7978410677.214691,1723521583.9353027,Distressed
549300RG3H390KEL8896,Banca Transilvania,EU,9690501021.596252,7969017531.498245,1721483490.0980072,Distressed
7LVZJ6XRIE7VNZ4UBX81,BANCA MEDIOLANUM S.P.A.,EU,9484164450.100006,7799466025.59185,1684698424.5081558,Distressed
MMYX0N4ZEZ13Z4XCG897,THE BANK OF NEW YORK MELLON,EU,8963781414.678406,7371830006.704041,1591951407.9743652,Distressed
J48C8PCSJVUBR8KCW529,BANCA POPOLARE DI SONDRIO SOCIETA' PER AZIONI,EU,8900396830.200012,7319739877.865379,1580656952.3346329,Distressed
DSNHHQ2B9X5N6OUJ1236,Norddeutsche Landesbank - Girozentrale -,EU,8843317405.933014,7272830937.343704,1570486468.5893097,Distressed
549300FH0WJAPEHTIQ77,BofA Securities Europe SA,EU,8360271181.546997,6875837062.129997,1484434119.4169998,Distressed
JLP5FSPH9WPSHY3NIM24,Nederlandse Waterschapsbank N.V.,EU,7975714044.600006,6559764638.542717,1415949406.0572891,Distressed
529900SXEWPJ1MRRX537,Raiffeisen-Holding Niederösterreich-Wien,EU,7661605261.694,6301579974.579887,1360025287.1141129,Distressed
3H0Q3U74FVFED2SHZT16,MBH bankcsoport,EU,7594665258.020233,6246556309.002174,1348108949.0180588,Distressed
549300L7YCATGO57ZE10,FINECOBANK S.P.A.,EU,7391972352.5,6079942178.65593,1312030173.8440704,Distressed
AT0000000000043000VB,VOLKSBANK WIEN AG VB,EU,7180558088.799011,5906153234.4160385,1274404854.3829727,Distressed
5493001BABFV7P27OW30,"Nova Ljubljanska Banka d.d., Ljubljana",EU,6859792100.0,5642462484.043854,1217329615.9561462,Distressed
0W2PZJM8XOY22M4GG883,DekaBank Deutsche Girozentrale,EU,6753060716.740021,5554719226.709724,1198341490.0302963,Distressed
R7CQUF1DQM73HUTV1078,"Banque et Caisse d´Epargne de l´Etat, Luxembourg",EU,6391015463.2795105,5257072612.879723,1133942850.399788,Distressed
815600AD83B2B6317788,CREDITO EMILIANO HOLDING SOCIETA' PER AZIONI,EU,6066171364.850006,4989995181.020012,1076176183.8299942,Distressed
635400L14KNHZXPUZM19,Bank of Cyprus Holdings Public Limited Company,EU,5809405483.199997,4778879770.929514,1030525712.270483,Distressed
96950001WI712W7PQG45,RCI Banque,EU,5670763494.22551,4664883336.5914345,1005880157.6340752,Distressed
3M5E1GQGKL17HI6CPN30,Jyske Bank A/S,EU,5410820523.674164,4451141992.434685,959678531.2394791,Distressed
529900OE1FOAM50XLP72,Liechtensteinische Landesbank AG,EU,5215182478.131485,4290270261.1536827,924912216.9778023,Distressed
2138008AVF4W7FMW8W87,CEC BANK SA,EU,4266604063.9706116,3510189259.211317,756414804.7592945,Distressed
DZZ47B9A52ZJ6LT6VV95,Deutsche Pfandbriefbank AG,EU,4185379542.890503,3443387234.469219,741992308.4212837,Distressed
6TJCK1B7E7UTXP528Y04,Citigroup Global Markets Europe AG,EU,4173893919.5959015,3433940966.2381935,739952953.357708,Distressed
549300C9KPZR0VZ16R05,Morgan Stanley Europe Holding SE,EU,3911237529.350006,3217916346.05229,693321183.2977161,Distressed
222100K6QL2V4MLHWQ08,LSF NANI INVESTMENTS S.A R.L.,EU,3891253699.031006,3201480052.830782,689773646.2002239,Distressed
LIU16F6VZJSD6UKHD557,Nykredit Realkredit A/S,EU,3810220374.328842,3134831253.406271,675389120.9225712,Distressed
529900RWC8ZYB066JF16,Bank of Valletta Plc,EU,3788167285.6910095,3116692739.864643,671474545.8263664,Distressed
485100FX5Y9YLAQLNP12,Revolut Holdings Europe UAB,EU,3787111310.650009,3115824206.052326,671287104.597683,Distressed
9CZ7TVMR36CYD5TZBS50,Banque Internationale à Luxembourg,EU,3206714925.324005,2638428995.718502,568285929.6055031,Distressed
391200EEGLNXBBCVKC73,Erwerbsgesellschaft der S-Finanzgruppe mbH & Co. KG,EU,3109466144.8479996,2558434308.2874584,551031836.5605412,Distressed
5299007S3UH5RKUYDA52,DEUTSCHE APOTHEKER- UND ÄRZTEBANK EG,EU,3039892230.175003,2501203585.0366344,538688645.1383686,Distressed
TUKDD90GPC79G1KOE162,Hamburg Commercial Bank AG,EU,3027594624.8479996,2491087646.148864,536506978.6991358,Distressed
549300DYPOFMXOR7XM56,Crelan,EU,2993341041.511299,2462910741.7656536,530430299.7456455,Distressed
724500JIWG886A9RRT57,RBS Holdings N.V.,EU,2951530642.9873047,2428517411.980262,523013231.0070429,Distressed
549300Q3OIWRHQUQM052,SpareBank 1 Sør-Norge,EU,2768967803.9326935,2278338099.772135,490629704.1605587,Distressed
254900RNFMDM0P11YR84,ATLANTIC LUX HOLDCO S.A R.L.,EU,2686965237.6190033,2210879956.297819,476085281.32118416,Distressed
H0YX5LBGKDVOWCXBZ594,SBAB Bank AB - Grupp,EU,2312726493.1993103,1903006984.718256,409719508.4810543,Distressed
213800HDJ876ACJXXD05,AIKGROUP (CY) LIMITED,EU,2264116119.350998,1863015596.0723724,401100523.2786255,Distressed
724500A1FNICHSDF2I11,de Volksbank N.V.,EU,2218229116.1615067,1825264418.369524,392964697.79198265,Distressed
F3JS33DEI6XQ4ZBPTN86,Skandinaviska Enskilda Banken - gruppen,EU,2098032519.0667038,1726377520.0339031,371654999.0328007,Distressed
549300TK038P6EV4YU51,Akcinė bendrovė Šiaulių bankas,EU,1056458075.0,689341431.7957134,367116643.2042866,Distressed
2138009Y59EAR7H1UO97,"Akciju sabiedrība ""Citadele banka""",EU,1055690453.5644989,688840556.9650431,366849896.59945583,Distressed
121642,BANKPLUS,US,902419000.0,560381089.4025221,342037910.5974779,Distressed
3408728,B1BANK,US,955946000.0,614969944.5181141,340976055.4818859,Distressed
933621,BURKE AND HERBERT BANK AND TRUST COMPANY,US,890989000.0,550549383.2658815,340439616.73411846,Distressed
657365,HANMI BANK,US,859671000.0,520601182.21758556,339069817.78241444,Distressed
633378,KEARNY BANK,US,711527000.0,373928328.53885555,337598671.46114445,Distressed
213800TC9PZRBHMJW403,MDB Group Limited,EU,961177822.4625092,627170838.1296577,334006984.3328514,Distressed
762447,"FIRST MID BANK & TRUST, NATIONAL ASSOCIATION",US,925736000.0,592001014.1101003,333734985.88989973,Distressed
529900JG015JC10LED24,AS LHV Group,EU,1881568611.5344238,1548285780.3685188,333282831.165905,Distressed
3187630,FORBRIGHT BANK,US,885432000.0,553435818.9319386,331996181.06806135,Distressed
811046,BANKERS TRUST COMPANY,US,689483000.0,357677564.630867,331805435.369133,Distressed
419406,BANGOR SAVINGS BANK,US,488616000.0,156877966.97193623,331738033.0280638,Distressed
701062,CENTRAL PACIFIC BANK,US,670856000.0,341913066.9478011,328942933.0521989,Distressed
255659,BANK OF COLORADO,US,708930000.0,380741563.486392,328188436.513608,Distressed
236706,PEAPACK PRIVATE BANK AND TRUST,US,717691000.0,390010519.6240406,327680480.3759594,Distressed
663834,OCEAN BANK,US,693539000.0,366651301.86287594,326887698.13712406,Distressed
1918344,PREFERRED BANK,US,775642000.0,449225289.13328266,326416710.86671734,Distressed
3232204,POPPY BANK,US,661478000.0,336873202.57253075,324604797.42746925,Distressed
3783948,"RBC BANK (GEORGIA), NATIONAL ASSOCIATION",US,821975000.0,500080001.0328183,321894998.9671817,Distressed
M312WZV08Y7LYUC71685,Swedbank - Grupp,EU,1815340189.2696228,1493796319.3039236,321543869.9656992,Distressed
930965,SMBC MANUBANK,US,945155000.0,625206377.7530556,319948622.2469444,Distressed
549300C6TUMDXNOVXS82,Länsförsäkringar Bank AB - gruppen,EU,1782612831.0836258,1466869659.0959053,315743171.9877205,Distressed
651859,STOCKMAN BANK OF MONTANA,US,703708000.0,388409602.79927444,315298397.20072556,Distressed
859712,RIDGEWOOD SAVINGS BANK,US,919906000.0,604851607.0773983,315054392.9226017,Distressed
529900GM944JT8YIRL63,Münchener Hypothekenbank eG,EU,1760437929.9815025,1448625025.8085537,311812904.17294884,Distressed
557858,"INTRUST BANK, NATIONAL ASSOCIATION",US,451585000.0,141756434.46029806,309828565.53970194,Distressed
1391778,COMENITY BANK,US,1010711000.0,703563408.9093175,307147591.0906825,Distressed
435077,"PATHWARD, NATIONAL ASSOCIATION",US,885347000.0,578967073.7779288,306379926.2220712,Distressed
773247,MIDLAND STATES BANK,US,621345000.0,314983363.12518024,306361636.87481976,Distressed
593007,CAMDEN NATIONAL BANK,US,708720000.0,403334867.9536004,305385132.0463996,Distressed
758703,CAMBRIDGE SAVINGS BANK,US,689899000.0,384570296.6863184,305328703.3136816,Distressed
58243,JOHNSON BANK,US,840460000.0,536671357.26803017,303788642.73196983,Distressed
2737980,NORTHPOINTE BANK,US,642670000.0,340443901.5539627,302226098.4460373,Distressed
816603,"WASHINGTON TRUST COMPANY, OF WESTERLY, THE",US,546466000.0,245360672.75349712,301105327.2465029,Distressed
260055,ALPINE BANK,US,653147000.0,352563089.85072327,300583910.14927673,Distressed
874845,LAKE CITY BANK,US,741413000.0,441321292.7639394,300091707.2360606,Distressed
881478,HERITAGE BANK,US,915849000.0,618811369.8968773,297037630.1031227,Distressed
936136,OLD SECOND NATIONAL BANK,US,905453000.0,609101976.3784728,296351023.6215272,Distressed
5493008QOCP58OLEN998,Investeringsmaatschappij Argenta,EU,1671023319.395401,1375057557.4095278,295965761.9858732,Distressed
169653,FIRST BANK,US,517579000.0,222421368.47949266,295157631.52050734,Distressed
413141,FIRST NATIONAL BANK OF AMERICA,US,528936000.0,234338997.93722343,294597002.06277657,Distressed
316840,REPUBLIC BANK & TRUST COMPANY,US,1022550000.0,730566911.4463234,291983088.5536766,Distressed
130541,HORIZON BANK,US,740923000.0,450695591.23922515,290227408.76077485,Distressed
1011526,CITY NATIONAL BANK OF WEST VIRGINIA,US,739801000.0,451607854.3694525,288193145.6305475,Distressed
509811,"COMMUNITY TRUST BANK, INC.",US,848690000.0,568316159.9641232,280373840.03587675,Distressed
677176,TRUSTCO BANK,US,675752000.0,399095530.7573614,276656469.2426386,Distressed
739560,FREMONT BANK,US,460493000.0,184370969.8698287,276122030.1301713,Distressed
933023,"SHORE UNITED BANK, NATIONAL ASSOCIATION",US,639670000.0,364763406.7307353,274906593.2692647,Distressed
139656,EQUITY BANK,US,721033000.0,446221608.8796251,274811391.1203749,Distressed
601416,FIVE STAR BANK,US,645650000.0,372316924.6250174,273333075.3749826,Distressed
836843,MIDWESTONE BANK,US,686241000.0,415292465.33379436,270948534.66620564,Distressed
2608754,MERCANTILE BANK,US,735948000.0,467774520.18507266,268173479.81492734,Distressed
786612,MID PENN BANK,US,770973000.0,503875128.88979673,267097871.11020327,Distressed
7V6Z97IO7R1SEAO84Q32,SpareBank 1 SMN,EU,1505926301.1606216,1239218272.2469606,266708028.913661,Distressed
474254,BROADWAY NATIONAL BANK,US,452691000.0,191410019.20425344,261280980.79574656,Distressed
888002,MIDDLESEX SAVINGS BANK,US,763162000.0,502204082.23409295,260957917.76590705,Distressed
766164,"TBK BANK, SSB",US,1013316000.0,752981188.1020336,260334811.89796638,Distressed
159636,WILSON BANK & TRUST,US,551265000.0,293559708.52078676,257705291.47921324,Distressed
2119773,"HINSDALE BANK & TRUST COMPANY, NATIONAL ASSOCIATION",US,638508000.0,381406793.4675865,257101206.53241348,Distressed
697763,WESTAMERICA BANK,US,630899000.0,375035031.23041534,255863968.76958466,Distressed
932978,FIRSTRUST SAVINGS BANK,US,603302000.0,348968922.7527056,254333077.24729443,Distressed
599764,"AMERICAN NATIONAL BANK OF TEXAS, THE",US,321555000.0,67324538.18368125,254230461.81631875,Distressed
2758613,FIRST INTERNET BANK OF INDIANA,US,419930000.0,166533434.87513733,253396565.12486267,Distressed
236153,FIRST INTERNATIONAL BANK AND TRUST,US,485554000.0,232166603.93455935,253387396.06544065,Distressed
2938198,"NORTHBROOK BANK & TRUST COMPANY, NATIONAL ASSOCIATION",US,507214000.0,254983417.34107733,252230582.65892267,Distressed
3532641,SMARTBANK,US,614625000.0,362807561.50257707,251817438.49742293,Distressed
664206,CAPE COD FIVE CENTS SAVINGS BANK,US,565601000.0,315178185.1949496,250422814.80505037,Distressed
572374,GREAT SOUTHERN BANK,US,637269000.0,388373174.9898262,248895825.0101738,Distressed
826956,CHOICE FINANCIAL GROUP,US,659146000.0,410969897.3828435,248176102.6171565,Distressed
40499,HARBORONE BANK,US,544568000.0,296680283.81029606,247887716.18970394,Distressed
693345,"FIRST FINANCIAL BANK, NATIONAL ASSOCIATION",US,612741000.0,366477280.3029909,246263719.6970091,Distressed
636771,INDEPENDENT BANK,US,480475000.0,236306068.9797206,244168931.0202794,Distressed
808260,FARMERS & MERCHANTS BANK OF CENTRAL CALIFORNIA,US,632636000.0,388837391.6828575,243798608.3171425,Distressed
28013,NORTHFIELD BANK,US,747127000.0,504375956.7217965,242751043.2782035,Distressed
253468,RIVER CITY BANK,US,527700000.0,286416981.66113615,241283018.33886385,Distressed
52719,"DEPOSITORY TRUST COMPANY, THE",US,944903000.0,705382830.87816,239520169.12184,Distressed
2209553,HERITAGE BANK OF COMMERCE,US,724780000.0,485999061.9082451,238780938.0917549,Distressed
825146,MORTON COMMUNITY BANK,US,506267000.0,268318544.22351384,237948455.77648616,Distressed
342410,ORRSTOWN BANK,US,600515000.0,363021973.35585785,237493026.64414215,Distressed
2471239,CFG BANK,US,617074000.0,380184570.58673024,236889429.41326976,Distressed
161602,"CANANDAIGUA NATIONAL BANK AND TRUST COMPANY, THE",US,441562000.0,206627287.24931455,234934712.75068545,Distressed
3378773,BRIDGEWATER BANK,US,572795000.0,339772182.4535353,233022817.54646468,Distressed
933256,"ALERUS FINANCIAL, NATIONAL ASSOCIATION",US,551253000.0,318590360.66539645,232662639.33460355,Distressed
243375,GREEN DOT BANK,US,237918000.0,5847642.88677001,232070357.11323,Distressed
660655,AMERICAN NATIONAL BANK,US,514354000.0,282504139.2572267,231849860.7427733,Distressed
717924,SOUTHERN BANK AND TRUST COMPANY,US,419406000.0,188383793.18482113,231022206.81517887,Distressed
680813,"FARMERS NATIONAL BANK OF CANFIELD, THE",US,501468000.0,271252816.7287164,230215183.27128363,Distressed
996260,CTBC BANK CORP. (USA),US,744659000.0,514448742.65957594,230210257.34042406,Distressed
339773,NEEDHAM BANK,US,651418000.0,421861916.03204656,229556083.96795344,Distressed
272302,INSTITUTION FOR SAVINGS IN NEWBURYPORT AND ITS VICINITY,US,660250000.0,431521423.6448629,228728576.3551371,Distressed
114260,FIRST NATIONAL BANK ALASKA,US,567724000.0,339654913.12093425,228069086.87906575,Distressed
529900S1KHKOEQL5CK20,Wüstenrot Bausparkasse Aktiengesellschaft,EU,1274359138.493,1048682336.2139635,225676802.27903652,Distressed
137915,EMIGRANT BANK,US,1197660000.0,973169431.1898432,224490568.81015682,Distressed
1187001,INTERBANK,US,623897000.0,401024380.00504684,222872619.99495316,Distressed
278818,PEOPLES SECURITY BANK AND TRUST COMPANY,US,590315000.0,367839088.1398177,222475911.8601823,Distressed
460033,COMMUNITY BANK OF MISSISSIPPI,US,401479000.0,179414378.98079634,222064621.01920366,Distressed
3109146,"LEADER BANK, NATIONAL ASSOCIATION",US,530422000.0,308453654.1047244,221968345.8952756,Distressed
26765,VANTAGE BANK TEXAS,US,408463000.0,188538574.01030016,219924425.98969984,Distressed
272272,SOUTHERN BANK,US,513169000.0,295037905.47274303,218131094.52725697,Distressed
3630323,THIRD COAST BANK,US,624315000.0,408051028.3548932,216263971.6451068,Distressed
3476192,CARTER BANK & TRUST,US,404226000.0,188063717.12560844,216162282.87439156,Distressed
426534,HEARTLAND BANK AND TRUST COMPANY,US,639267000.0,425025781.38925123,214241218.61074877,Distressed
256553,DACOTAH BANK,US,449091000.0,237514466.1263194,211576533.8736806,Distressed
2508751,"BARRINGTON BANK & TRUST COMPANY, NATIONAL ASSOCIATION",US,533945000.0,323366381.68392134,210578618.31607866,Distressed
822556,TEXAS EXCHANGE BANK,US,376235000.0,168397491.50670147,207837508.49329853,Distressed
77851,FIRST BANK & TRUST,US,520530000.0,314936960.20133305,205593039.79866695,Distressed
866000,ARROW BANK NATIONAL ASSOCIATION,US,415697000.0,212816928.8151431,202880071.1848569,Distressed
2867337,FIVE STAR BANK,US,486115000.0,283533947.44979763,202581052.55020237,Distressed
522605,BAR HARBOR BANK AND TRUST COMPANY,US,561644000.0,359282273.30203056,202361726.69796944,Distressed
2693264,"TOWN BANK, NATIONAL ASSOCIATION",US,449616000.0,248960303.613595,200655696.386405,Distressed
584920,"FIDELITY BANK, THE",US,403386000.0,204458183.59867525,198927816.40132475,Distressed
2562164,COASTAL COMMUNITY BANK,US,476184000.0,277511795.51585436,198672204.48414564,Distressed
673909,HINGHAM INSTITUTION FOR SAVINGS,US,461705000.0,263226467.51034307,198478532.48965693,Distressed
731247,HILLS BANK AND TRUST COMPANY,US,584210000.0,385826815.9740112,198383184.02598882,Distressed
2734729,AMERICAN BUSINESS BANK,US,395546000.0,197494511.5757537,198051488.4242463,Distressed
613950,FIRST NATIONAL BANK TEXAS DBA FIRST CONVENIENCE BANK,US,276935000.0,79290705.60294771,197644294.3970523,Distressed
575254,CITY BANK,US,458401000.0,262381726.29908872,196019273.70091128,Distressed
2992547,"JOHN DEERE FINANCIAL, F.S.B.",US,769003000.0,573306643.0141511,195696356.9858489,Distressed
212577,HOMETRUST BANK,US,585814000.0,390457142.07072043,195356857.92927957,Distressed
976703,"BESSEMER TRUST COMPANY, N.A.",US,391952000.0,197262581.31639695,194689418.68360305,Distressed
2849801,SOUTHERN FIRST BANK,US,376239000.0,181871083.65527105,194367916.34472895,Distressed
613400,PEOPLESBANK,US,393819000.0,200933642.5292263,192885357.4707737,Distressed
913753,INWOOD NATIONAL BANK,US,469776000.0,278653296.6598797,191122703.34012032,Distressed
949154,TEXAS BANK AND TRUST COMPANY,US,512801000.0,324080882.8579438,188720117.14205623,Distressed
479268,BANK OF STOCKTON,US,884102000.0,695937732.6995931,188164267.30040693,Distressed
56351,"VERABANK, NATIONAL ASSOCIATION",US,486826000.0,298839505.1548729,187986494.8451271,Distressed
230759,INTERNATIONAL BANK OF COMMERCE,US,524218000.0,337507174.9327247,186710825.0672753,Distressed
594947,"BANK FIRST, NATIONAL ASSOCIATION",US,596565000.0,410210451.4171727,186354548.58282733,Distressed
925411,SUMITOMO MITSUI TRUST BANK (U.S.A.) LIMITED,US,532300000.0,346021242.47218037,186278757.52781963,Distressed
876634,CAPITAL CITY BANK,US,510643000.0,324584104.81193256,186058895.18806744,Distressed
324340,CHOICEONE BANK,US,491679000.0,306342265.78458357,185336734.21541643,Distressed
